"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","22u","C_1206_3216Metric","218.821","-122.428","-90","top"
"C2","22u","C_1206_3216Metric","205.562","-124.739","-90","top"
"C3","100n","C_0402_1005Metric","205.232","-141.453","0","top"
"C4","100n","C_0402_1005Metric","214.658","-141.453","0","top"
"C5","100n","C_0402_1005Metric","106.02","-180.797","0","top"
"C6","100n","C_0402_1005Metric","116.84","-184.607","-90","top"
"C7","100n","C_0402_1005Metric","104.902","-195.961","180","top"
"C8","100n","C_0402_1005Metric","114.3","-195.707","-90","top"
"C9","100n","C_0402_1005Metric","101.854","-184.15","180","top"
"C10","10u","C_0805_2012Metric","120.65","-195.834","0","top"
"C11","4.7u","C_0402_1005Metric","112.776","-196.215","180","top"
"C12","100n","C_0402_1005Metric","102.21","-188.163","-90","top"
"C13","4.7u","C_0402_1005Metric","102.21","-190.144","-90","top"
"C14","10n","C_0402_1005Metric","101.194","-190.144","-90","top"
"C15","10p","C_0402_1005Metric","96.012","-183.007","90","top"
"C16","10p","C_0402_1005Metric","97.79","-189.611","-90","top"
"C17","10u","C_0805_2012Metric","143.002","-182.372","180","top"
"C18","22n","C_0805_2012Metric","126.238","-185.293","0","top"
"C19","22n","C_0805_2012Metric","130.683","-181.991","0","top"
"D1","SM4007","D_SOD-123F","186.182","-100.711","0","top"
"D2","SM4007","D_SOD-123F","189.281","-135.28","90","top"
"D4","SM4007","D_SOD-123F","222.606","-216.002","90","top"
"D5","SM4007","D_SOD-123F","162.052","-105.41","0","top"
"D6","SM4007","D_SOD-123F","170.18","-135.179","90","top"
"D8","SM4007","D_SOD-123F","198.933","-216.052","90","top"
"D9","SM4007","D_SOD-123F","143.002","-105.537","0","top"
"D10","SM4007","D_SOD-123F","151.181","-135.28","90","top"
"D11","SM4007","D_SOD-123F","125.803","-176.733","0","top"
"D12","SM4007","D_SOD-123F","159.969","-222.402","0","top"
"D13","SM4007","D_SOD-123F","123.698","-105.537","0","top"
"D14","SM4007","D_SOD-123F","132.08","-135.23","90","top"
"D16","SM4007","D_SOD-123F","137.008","-216.103","90","top"
"D17","SM4007","D_SOD-123F","108.255","-111.404","90","top"
"D18","SM4007","D_SOD-123F","113.03","-135.23","90","top"
"D20","SM4007","D_SOD-123F","113.132","-216.052","90","top"
"DP1","SMF9.0CA","D_SOD-123_Bidirectional","222.885","-103.886","90","top"
"F1","ASMD1206-150","Fuse_1206_3216Metric","219.202","-100.838","-90","top"
"J1","TYPE-C-31-M12_13","TYPE-C-31-M-12","211.582","-104.96","180","top"
"L1","60R@100MHz","L_1206_3216Metric","218.237","-106.68","90","top"
"R1","5.1k","R_0805_2012Metric","214.782","-109.169","-90","top"
"R2","5.1k","R_0805_2012Metric","208.636","-109.118","-90","top"
"R3","10k","R_0805_2012Metric","215.114","-143.637","180","top"
"R4","10k","R_0805_2012Metric","183.261","-181.483","180","top"
"R7","10k","R_0402_1005Metric","110.871","-196.215","0","top"
"SW1","SW_BOOT","SW_SPDT_PCM12","183.356","-188.119","0","top"
"U1","TPD4E05U06DQAR","USON-10_2.5x1.0mm_P0.5mm","211.582","-106.371","90","top"
"U2","TXS0101DBVR","SOT-23-6","209.73","-142.367","0","top"
"U3","STM32F401RCTx","LQFP-64_10x10mm_P0.5mm","109.537","-188.119","0","top"
"U4","AMS1117-3.3","SOT-223-3_TabPin2","212.09","-123.19","180","top"
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm","96.871","-186.294","-90","top"